AKT-V-000001	Бал был очень многолюден.
AKT-V-001042	Ах, не сердитесь на меня;
AKT-V-001043	любовь к моему брату заставила меня вас беспокоить.
AKT-V-001044	Я знаю, что вы друг синьора Антонио, так спасите, если можете, моего брата!
AKT-V-001045	Я вам клянусь всем, что дорого моему сердцу, он давно хочет сделаться честным человеком;
AKT-V-001046	но если его будут преследовать, как дикого зверя, он поневоле останется разбойником, убийствами отяготит свою душу и погубит себя навсегда!
AKT-V-001047	О, достаньте ему прощение, умоляю вас, на коленях умоляю вас, сжальтесь над его раскаяньем, сжальтесь над его бедною сестрою!
AKT-V-001048	И, говоря это, она обнимала мои колена, и крупные слёзы катились по её щекам.
AKT-V-001049	Огненного цвета лента, опоясывавшая её голову, развязалась, и волосы, извиваясь как змеи, упали на её плечи.
AKT-V-001050	Она так была прекрасна, что в эту минуту я забыл о своём страхе, о вилле Urgina и об её преданиях.
AKT-V-001051	Я вскочил с кровати, и уста наши соединились в долгий поцелуй.
AKT-V-001052	Знакомый голос в ближней зале нас пробудил.
AKT-V-001053	— С кем ты там, Пепина?
AKT-V-001054	— сказал кто-то, отворяя дверь.
AKT-V-001055	— Ах, это мой брат!
AKT-V-001056	— вскричала девушка и, вырвавшись из моих объятий, убежала прочь.
AKT-V-001057	В комнату вошёл человек в плаще и в шляпе с чёрным пером.
AKT-V-001058	Увидя меня, он остановился, и каково было моё удивление, когда, вглядевшись в черты его лица, я в нём узнал моего аббата!
AKT-V-001059	— А, это вы, signor Russo!
AKT-V-001060	— сказал он, затыкая за пояс большой пистолет, которым готовился меня приветствовать.
AKT-V-001061	— Добро пожаловать!
AKT-V-001062	Не удивляйтесь перемене моего одеяния.
AKT-V-001063	Вы меня видели аббатом, в другой раз вы меня увидите ветурином или трубочистом.
AKT-V-001064	Увы, я до тех пор должен скрываться, пока не получу прощения от правительства!
AKT-V-001065	Сказав это, Титта Каннелли глубоко вздохнул;
AKT-V-001066	потом, приняв весёлый вид, подошёл ко мне и ударил меня по плечу.
AKT-V-001067	— Я вас нарочно,
AKT-V-001068	— сказал он,
AKT-V-001069	— зазвал в виллу друга моего дон Пьетро для небольшого дельца.
AKT-V-001070	Я нуждаюсь в деньгах, а у меня здесь спрятано множество дорогих вещей, между прочим целый ящик колец, ожерелий, серёг и браслет.
AKT-V-001071	За всё я с вас возьму только семьдесят семь наполеонов.
AKT-V-001072	— Он нагнулся под мою кровать, вытащил оттуда большой ящик, и я увидел кучу золотых уборов, один прекраснее другого.
AKT-V-001073	Несколько фермуаров были украшены самыми редкими каменьями, и всё работано с таким вкусом, как я никогда ещё не видывал.
AKT-V-001074	Цена, которую он требовал, мне показалась очень необыкновенною, и хотя она очевидно доказывала, что эти вещи достались ему даром, но теперь было не время входить в разбирательство;
AKT-V-001075	к тому ж Пепинин брат, стоя между моим оружием и мною, так красноречиво играл своим пистолетом, что я почёл за нужное тотчас согласиться и, раскрыв свой кошелёк, нашёл в нём ровно семьдесят семь наполеонов, которые отдал разбойнику.
AKT-V-001076	— Благодарю вас,
AKT-V-001077	— сказал он,
AKT-V-001078	— вы сделали доброе дело!
AKT-V-001079	Теперь мне только остаётся предупредить вас, что, если вы вздумаете открыть полиции, откуда вы получили эти вещи, я вам непременно размозжу голову.
AKT-V-001080	Желаю вам покойной ночи.
AKT-V-001081	Он мне дружески пожал руку и исчез так скоро, что я не мог видеть, куда он скрылся.
AKT-V-001082	Я только слышал, как в стене повернулись потаённые петли, и потом всё погрузилось в молчание.
AKT-V-001083	Взоры мои нечаянно упали на изображение на стене, и я невольно вздрогнул.
AKT-V-001084	Мне опять показалась, что это была не Пепина, а нарисованная женщина, которая несколько минут тому назад выступила из стены и которую я целовал.
AKT-V-001085	Я стал сожалеть, что в то время не догадался посмотреть на стену, чтобы увидеть, там ли она или нет.
AKT-V-001086	Но я превозмог свою боязнь и принялся шарить в ящике.
AKT-V-001087	Между разными цепочками, флакончиками и прочими вещицами нашёл я одну склянку рококо, величиною с большое яблоко и оправленную в золото с необыкновенным вкусом.
AKT-V-001088	Работа была так нежна, что я, боясь, чтобы склянка не исцарапалась в ящике, тщательно завернул её в платок и поставил подле себя на стол.
AKT-V-001089	Потом, закрыв ящик, я опять лёг и вскоре заснул.
AKT-V-001090	Во сне я всю ночь видел Пепину и женщину-фреск, и часто, среди самых приятных картин моего воображения, я вскакивал в страхе и опять засыпал.
AKT-V-001091	Меня также беспокоило какое-то болезненное чувство в шее.
AKT-V-001092	Я думал, что простудился на сквозном ветру.
AKT-V-001093	Когда я проснулся, солнце уже было высоко, и я, наскоро одевшись, спешил отыскать своих товарищей.
AKT-V-001094	Антонио лежал в бреду.
AKT-V-001095	Он, как сумасшедший, махал руками и беспрестанно кричал:
AKT-V-001096	— Оставьте меня!
AKT-V-001097	Разве я виноват, что Венера
AKT-V-001098	— прекраснейшая из богинь?
AKT-V-001099	Парис человек со вкусом, и я его непременно сделаю совестным судьёю в Пекине, как скоро въеду в своё Китайское государство на крылатом грифоне!
AKT-V-001100	Я употреблял все силы, чтобы привесть его в себя, как вдруг дверь отворилась, и Владимир, бледный, расстроенный, вбежал в комнату.
AKT-V-001101	— Как,
AKT-V-001102	— вскричал он радостно, увидев Антонио,
AKT-V-001103	— он жив?
AKT-V-001104	я его не убил?
AKT-V-001105	Покажи, покажи, куда я его ранил?
AKT-V-001106	Он бросился осматривать Антонио;
AKT-V-001107	но раны нигде не было видно.
AKT-V-001108	— Вот видишь,
AKT-V-001109	— сказал Антонио,
AKT-V-001110	— я тебе говорил, что бог Пан так же искусно играет на свирели, как и стреляет из пистолета.
AKT-V-001111	Владимир не переставал щупать Антонио и наконец, удостоверившись, что он жив и не ранен, вскричал с восторгом:
AKT-V-001112	— Слава Богу, я его не убил, это был только дурной сон!
AKT-V-001113	— Друзья мои,
AKT-V-001114	— говорил я,
AKT-V-001115	— ради Бога, объяснитесь, я ничего не могу понять!
AKT-V-001116	Наконец мне и Владимиру удалось привести Антонио в память;
AKT-V-001117	но он так был слаб, что я ничего не хотел у него спрашивать, а попросил Владимира, чтобы он нам рассказал, что с ним случилось ночью.
AKT-V-001118	— Вошедши в свою комнату,
AKT-V-001119	— сказал Владимир,
AKT-V-001120	— я воткнул свечу в один из ветвистых подсвечников, которые, как огромные пауки, держались на золотой раме зеркала, и тщательно осмотрел свои пистолеты.
AKT-V-001121	Мне удалось отворить заколоченную ставню, и с неизъяснямым удовольствием я стал дышать чистым воздухом ночи.
AKT-V-001122	Всё вокруг меня было тихо.
AKT-V-001123	Луна была уже высоко, а воздух так прозрачен, что я мог различать все изгибы самых отдалённых гор, между которыми башня замка Baradello величественно подымала голову.
AKT-V-001124	Я погрузился в размышления и уже около получаса смотрел на озеро и на горы, как лёгкий шорох за моими плечами заставил меня оглянуться.
AKT-V-001125	Свеча очень нагорела, и я сначала ничего не мог различить, но, вглядевшись хорошенько в темноту, я увидел в дверях большую белую фигуру.
AKT-V-001126	«Кто там?»
AKT-V-001127	— закричал я.
AKT-V-001128	Фигура испустила жалобный вопль я, как будто на невидимых колёсах, приблизилась ко мне.
AKT-V-001129	Я никогда не видал лица страшнее этого.
AKT-V-001130	Привидение подняло обе руки, как бы желая завернуть меня в своё покрывало.
AKT-V-001131	Я не знаю, что я почувствовал в эту минуту, но в руке моей был пистолет, раздался выстрел, и призрак упал на землю, закричав:
AKT-V-001132	«Владимир!
AKT-V-001133	что ты делаешь?
AKT-V-001134	я Антонио!»
AKT-V-001135	Я бросился его подымать, но пуля пролетела ему сквозь грудь, кровь била фонтаном из раны, он хрипел, как умирающий.
AKT-V-001136	«Владимир,
AKT-V-001137	— сказал он слабым голосом,
AKT-V-001138	— я хотел испытать твою храбрость, ты меня убил;
AKT-V-001139	прости мне, как я тебе прощаю!»
AKT-V-001140	Я начал кричать, ты прибежал на мой крик;
AKT-V-001141	мы оба перенесли Антонио в его комнату.
AKT-V-001142	— Что ты говоришь?
AKT-V-001143	— прервал я Владимира,
AKT-V-001144	— я всю ночь не выходил из спальни.
AKT-V-001145	После того как ты мне прочитал письмо твоей матери и от меня ушёл, я остался в постели и ничего не знаю про Антонио.
AKT-V-001146	К тому ж ты видишь, что он жив и здоров, стало быть, ты всё это видел во сне!
AKT-V-001147	— Ты сам говоришь во сне!
AKT-V-001148	— отвечал с досадою Владимир,
AKT-V-001149	— никогда я к тебе не приходил и не читал тебе никакого письма от матушки!
AKT-V-001150	Тут Антонио встал со стула и к нам подошёл.
AKT-V-001151	— О чём вы спорите?
AKT-V-001152	— сказал он.
AKT-V-001153	— Вы видите, что я жив.
AKT-V-001154	Клянусь честью, что я никогда и не думал стращать Владимира.
AKT-V-001155	Впрочем, мне и не до того было.
AKT-V-001156	Когда я остался один, я, так же как Владимир, сначала осмотрел свои пистолеты.
AKT-V-001157	Потом я лёг на диван, и глаза мои невольно устремились на расписанный потолок и высокие карнизы, украшенные золотыми арабесками.
AKT-V-001158	Звери и птицы странным образом сплетались с цветами, фруктами и разного рода узорами.
AKT-V-001159	Мне показалось, что узоры эти шевелятся, и, чтобы не дать воли своему воображению, я встал и начал прохаживаться по зале.
AKT-V-001160	Вдруг что-то сорвалось с карниза и упало на пол.
AKT-V-001161	Хотя в зале так было темно, что я ничего не увидел, но я рассудил по звуку, что упавшее тело было мягкое, ибо оно совсем не произвело стуку, а только глухой шум.
AKT-V-001162	Через несколько времени я услышал за собою шаги, как будто животного.
AKT-V-001163	Я оглянулся и увидел золотого грифона величиною с годовалого телёнка.
AKT-V-001164	Он смотрел на меня умными глазами и повёртывал своим орлиным носом.
AKT-V-001165	Крылья его были подняты, и концы их свёрнуты в кольца.
AKT-V-001166	Вид его меня удивил, но не испугал.
AKT-V-001167	Однако, чтобы от него избавиться, я на него закричал и притопнул ногою.
AKT-V-001168	Грифон поднял одну лапу, опустил голову и, пошевелив ушами, сказал мне человеческим голосом:
AKT-V-001169	«Напрасно вы беспокоитесь, синьор Антонио;
AKT-V-001170	я вам не сделаю никакого вреда.
AKT-V-001171	Меня нарочно прислал за вами хозяин, чтобы я вас отвёз в Грецию.
AKT-V-001172	Наши богини опять поспорили за яблоко.
AKT-V-001173	Юноша уверяет, что Парис только потому отдал его Венере, что она обещала ему Елену.
AKT-V-001174	Минерва тоже говорит, что Парис покривил душой, и обе они обратились с жалобою к старику;
AKT-V-001175	а старик им сказал:
AKT-V-001176	пусть вас рассудит синьор Антонио.
AKT-V-001177	Теперь, если вам угодно, садитесь на меня верхом, я вас мигом привезу в Грецию».
AKT-V-001178	Мысль эта мне так показалась забавна, что я уже подымал ногу, чтобы сесть на грифона, но он меня остановил.
AKT-V-001179	«Каждая земля,
AKT-V-001180	— сказал он,
AKT-V-001181	— имеет свои обычаи.
AKT-V-001182	Все над вами будут смеяться, если вы приедете в Грецию в сюртуке».
AKT-V-001183	—
AKT-V-001184	«А как же мне ехать?»
AKT-V-001185	— спросил я.
AKT-V-001186	«Не иначе, как в национальном костюме:
AKT-V-001187	разденьтесь донага и обдрапируйтесь плащом.
AKT-V-001188	Все боги и даже богини точно так одеты».
AKT-V-001189	Я послушался грифона и сел к нему на спину.
AKT-V-001190	Он пустился бежать рысью, и мы долго ехали по разным коридорам, через длинные ряды комнат, спускались и подымались по лестницам и наконец прибыли в огромную залу, освещённую розовым светом.
AKT-V-001191	Потолок залы был расписан и представлял небо с летающими птицами и купидонами, а в конце её возвышался золотой трон, и на нём сидел Юпитер.
AKT-V-001192	«Это наш хозяин, дон Пьетро д'Урджина!»
AKT-V-001193	— сказал мне грифон.
AKT-V-001194	У ног трона протекала прозрачная река, и в ней купалось множество нимф и наяд, одна прекраснее другой.
AKT-V-001195	Реку эту, как я узнал после, называли Ладоном.
AKT-V-001196	На берегу её росло очень много тростнику, у которого сидел аббат и играл на свирели.
AKT-V-001197	«Это кто такой?»
AKT-V-001198	— спросил я у грифона.
AKT-V-001199	«Это бог Пан»,
AKT-V-001200	— отвечал он.
AKT-V-001201	«Зачем же он в сюртуке?»
AKT-V-001202	— спросил я опять.
AKT-V-001203	«Затем, что он принадлежит к духовному сословию, и ему бы неприлично было ходить голым».
AKT-V-001204	—
AKT-V-001205	«Но как же он может сидеть на берегу реки, в которой купаются нимфы?»
AKT-V-001206	—
AKT-V-001207	«Это для того, чтобы умерщвлять свою плоть;
AKT-V-001208	вы видите, что он от них отворачивается».
AKT-V-001209	—
AKT-V-001210	«А для чего у него за поясом пистолеты?»
AKT-V-001211	—
AKT-V-001212	«Ох,
AKT-V-001213	— отвечал с досадою грифон,
AKT-V-001214	— вы слишком любопытны;
AKT-V-001215	почему я это знаю!»
AKT-V-001216	Мне показалось странным видеть в комнате реку, и я заглянул за китайские ширмы, из-за которых она вытекала.
AKT-V-001217	За ширмами сидел старик в напудренном парике и, по-видимому, дремал.
AKT-V-001218	Подошед к нему на цыпочках, я увидел, что река бежала из урны, на которую он опирался.
AKT-V-001219	Я начал его рассматривать с большим любопытством;
AKT-V-001220	но грифон подбежал ко мне, дёрнул меня за плащ и сказал мне на ухо:
AKT-V-001221	«Что ты делаешь, безрассудный?
AKT-V-001222	Ты разбудишь Ладона, и тогда непременно сделается наводнение.
AKT-V-001223	Ступай прочь, или мы все погибнем!»
AKT-V-001224	Я отошёл.
AKT-V-001225	Мало-помалу зала наполнилась народом.
AKT-V-001226	Нимфы, дриады, ореады прогуливались между фавнами, сатирами и пастухами.
AKT-V-001227	Наяды вышли из воды и, накинув на себя лёгкие покрывала, стали также с ними прохаживаться.
AKT-V-001228	Боги не ходили, а чинно сидели с богинями возле Юпитерова трона и смотрели на гуляющих.
AKT-V-001229	Между последними заметил я одного человека в домино и в маске, который ни на кого не обращал внимания, но которому все давали место.
AKT-V-001230	«Это кто?»
AKT-V-001231	— спросил я у грифона.
AKT-V-001232	Грифон очевидно смешался.
AKT-V-001233	«Это так, кто-нибудь!
AKT-V-001234	— отвечал он, поправляя носом свои перья,
AKT-V-001235	— не обращайте на него внимания!»
AKT-V-001236	Но в эту минуту к нам подлетел красивый попугай и, сев ко мне на плечо, проговорил гнусливым голосом:
AKT-V-001237	«Дуррак, дуррак!
AKT-V-001238	ты не знаешь, кто этот человек?
AKT-V-001239	Это наш настоящий хозяин, и мы его почитаем более, нежели дон Пьетро!»
AKT-V-001240	Грифон с сердцем посмотрел на попугая и значительно мигнул ему одним глазом, но тот уже слетел с моего плеча и исчез в потолке между купидонами и облаками.
AKT-V-001241	Вскоре в собрании сделалась суматоха.
AKT-V-001242	Толпа расступилась, и я увидел молодого человека в фригийской шапке, с связанными руками, которого вели две нимфы.
AKT-V-001243	«Парис!
AKT-V-001244	— сказал ему Юпитер или дон Пьетро д'Урджина (как называл его грифон),
AKT-V-001245	— Парис!
AKT-V-001246	говорят, что ты золотое яблоко несправедливо присудил Венере.
AKT-V-001247	Смотри, ведь я шутить не люблю.
AKT-V-001248	Ты у меня как раз полетишь вверх ногами!»
AKT-V-001249	—
AKT-V-001250	«О могущий громовержец!
AKT-V-001251	— отвечал Парис,
AKT-V-001252	— клянусь Стиксом, я судил по чистой совести.
AKT-V-001253	Впрочем, вот синьор Антонио;
AKT-V-001254	он, я знаю, человек со вкусом.
AKT-V-001255	Вели ему произвесть следствие;
AKT-V-001256	и если он не точно так решит, как я, то я согласен полететь вверх ногами!»
AKT-V-001257	—
AKT-V-001258	«Хорошо!
AKT-V-001259	— сказал Юпитер,
AKT-V-001260	— быть по-твоему!»
AKT-V-001261	Тут меня посадили под лавровое дерево и дали мне в руки золотое яблоко.
AKT-V-001262	Когда ко мне подошли три богини, свирель аббата зазвучала сладостнее прежнего, тростник реки Ладона тихонько закачался, множество блестящих птичек вылетели из его средины, и песни их были так жалобны, так приятны и странны, что я не знал;
AKT-V-001263	плакать ли мне или смеяться от удовольствия.
AKT-V-001264	Между тем старик за ширмами, вероятно, пробуждённый песнями птичек и гармоническим шумом тростника, начал кашлять и произнёс слабым голосом и как будто впросонках:
AKT-V-001265	«О Сиринга!
AKT-V-001266	о дочь моя!»
AKT-V-001267	Я совсем забылся, но грифон очень больно ущипнул меня за руку и сердито сказал мне:
AKT-V-001268	«Скорей за дело, синьор Антонио!
AKT-V-001269	Богини вас ждут;
AKT-V-001270	решайте, пока старик не проснулся!»
AKT-V-001271	Я превозмог сладостное волнение, увлёкшее меня далеко от виллы Urgina в неведомый мир цветов и звуков, и, собравшись с мыслями, устремил глаза на трёх богинь.
AKT-V-001272	Они сбросили с себя покрывала.
AKT-V-001273	О мои друзья!
AKT-V-001274	как вам описать, что я тогда почувствовал!
AKT-V-001275	Какими словами дать вам понятие об остром летучем огне, который в одно мгновение пробежал по всем моим жилам!
AKT-V-001276	Все мои чувства смутились, все понятия перемешались, я забыл о вас, о родных, о самом себе, обо всей своей прошедшей жизни;
AKT-V-001277	я был уверен, что я сам Парис и что мне предоставлено великое решение, от которого пала Троя.
AKT-V-001278	В Юноне я узнал Пепину, но она была сто раз прекраснее, нежели когда она вышла ко мне на помощь из виллы Remondi.
AKT-V-001279	Она держала в руках гитару и тихонько трогала струны.
AKT-V-001280	Она так была обворожительна, что я уже протягивал руку, чтобы вручить ей яблоко, но, бросив взгляд на Венеру, внезапно переменил намерение.
AKT-V-001281	Венера, сложив небрежно руки и приклонив голову к плечу, смотрела на меня с упрёком.
AKT-V-001282	Взоры наши встретились, она покраснела и хотела отвернуться, но в этом движении столько было прелести, что я, не колеблясь, подал ей яблоко.
AKT-V-001283	Парис восторжествовал;
AKT-V-001284	но человек в домино и в маске подошёл к Венере и, вынув из-под полы большой бич, начал немилосердно её хлыстать, приговаривая при каждом ударе:
AKT-V-001285	«Вот тебе, вот тебе;
AKT-V-001286	вперёд знай свою очередь и не кокетничай, когда тебя не спрашивают;
AKT-V-001287	сегодня не твой день, а Юнонин;
AKT-V-001288	не могла ты подождать?
AKT-V-001289	вот же тебе за то, вот тебе, вот тебе!»
AKT-V-001290	Венера плакала и рыдала, но незнакомец не переставал её бить и, обратившись к Юпитеру, сказал:
AKT-V-001291	«Когда я с ней расправлюсь, то и до тебя дойдёт очередь, проклятый старикашка!»
AKT-V-001292	Тогда Юпитер и все боги соскочили с своих мест и бросились незнакомцу в ноги, жалобно вопия:
AKT-V-001293	«Умилосердись, наш повелитель!
AKT-V-001294	В другой раз мы будем исправнее!»
AKT-V-001295	Между тем Юнона или Пепина (я до сих пор не знаю, кто она была) подошла ко мне и сказала мне с очаровательной улыбкой:
AKT-V-001296	«Не думай, мой милый друг, чтобы я была на тебя сердита за то, что ты не мне присудил яблоко.
AKT-V-001297	Верно, так было написано в неисповедимой книге судьбы!
AKT-V-001298	Но чтобы ты видел, сколь я уважаю твоё беспристрастие, позволь мне дать тебе поцелуй».
AKT-V-001299	Она обняла меня прелестными руками и жадно прижала свои розовые губы к моей шее.
AKT-V-001300	В ту же минуту я почувствовал в ней сильную боль, которая, однако, тотчас прошла.
AKT-V-001301	Пепина так ко мне ласкалась, так нежно меня обнимала, что я бы вторично забылся, если бы крики Венеры не отвлекли от неё моего внимания.
AKT-V-001302	Человек в домино, запустив руку в её волосы, продолжал её сечь самым бесчеловечным образом.
AKT-V-001303	Жестокость его меня взорвала.
AKT-V-001304	«Скоро ли ты перестанешь!»
AKT-V-001305	— закричал я в негодовании и бросился на него.
AKT-V-001306	Но из-под чёрной маски сверкнули на меня невыразимым блеском маленькие белые глаза, и взгляд этот меня пронзил как электрический удар.
AKT-V-001307	В одну секунду все боги, богини и нимфы исчезли.
AKT-V-001308	Я очутился в Китайской комнате, возле круглой залы.
AKT-V-001309	Меня окружила толпа фарфоровых кукол, фаянсовых мандаринов и глиняных китаек, которые с криком:
AKT-V-001310	«Да здравствует наш император, великий Антонио-Фу-Цинг-Танг!»
AKT-V-001311	— бросились меня щекотать.
AKT-V-001312	Напрасно я старался от них отделаться.
AKT-V-001313	Маленькие их ручонки влезали мне в нос и в уши, я хохотал как сумасшедший.
AKT-V-001314	Не знаю, как я от них избавился, но когда я очнулся, то вы оба, друзья мои, стояли подле меня.
AKT-V-001315	Стократ вас благодарю за то, что вы меня спасли!
AKT-V-001316	И Антонио начал нас обнимать и целовать, как ребёнок.
AKT-V-001317	Когда прошёл его восторг, то я, обратившись к нему и к Владимиру, сказал им очень сериозно:
AKT-V-001318	— Я вижу, друзья мои, что вы оба бредили нынешнюю ночь.
AKT-V-001319	Что касается до меня, то я удостоверился, что все чудесные слухи про этот palazzo не что иное, как выдумка контрабандиста Титта Каннелли.
AKT-V-001320	Я сам его видел и с ним говорил.
AKT-V-001321	Пойдём со мною, я вам покажу, что я у него купил.
AKT-V-001322	С сими словами я пошёл в свою спальню, Антонио и Владимир за мною последовали.
AKT-V-001323	Я открыл ящик, всунул в него руку и вытащил человеческие кости!
AKT-V-001324	Я их с ужасом отбросил и побежал к столу, на который накануне поставил склянку рококо.
AKT-V-001325	Развернув платок, я остолбенел.
AKT-V-001326	В нём был череп ребёнка.
AKT-V-001327	Пустой кошелёк мой лежал подле него.
AKT-V-001328	— Это ты купил у твоего контрабандиста?
AKT-V-001329	— спросили меня в один голос Антонио и Владимир.
AKT-V-001330	Я не знал, что отвечать.
AKT-V-001331	Владимир подошёл к окну и воскликнул с удивлением:
AKT-V-001332	— Ах, Боже мой!
AKT-V-001333	где же озеро?
AKT-V-001334	Я также подошёл к окну.
AKT-V-001335	Передо мной была piazza Volta, и я увидел, что смотрю из окна чёртова дома.
AKT-V-001336	— Как мы сюда попали?
AKT-V-001337	— спросил я, обращаясь к Антонио.
AKT-V-001338	Но Антонио не мог мне отвечать.
AKT-V-001339	Он был чрезвычайно бледен, силы его покинули, и он опустился в кресла.
AKT-V-001340	Тогда я только заметил, что у него на шее маленькая синяя ранка, как будто от пиявки, но немного более.
AKT-V-001341	Я тоже чувствовал слабость и, подошёл к зеркалу, увидел у себя на шее такую же ранку, как у Антонио.
AKT-V-001342	Владимир ничего не чувствовал, и ранки у него не было.
AKT-V-001343	На вопросы мои Владимир признался, что когда он выстрелил в белый призрак и потом узнал своего друга, то Антонио умолял его, чтобы он с ним в последний раз поцеловался;
AKT-V-001344	но Владимир никак не мог на это решиться, потому что его пугало что-то такое во взгляде Антонио.
AKT-V-001345	Мы ещё рассуждали о наших приключениях, как кто-то сильно стал стучаться в ворота.
AKT-V-001346	Мы увидели полицейского офицера с шестью солдатами.
AKT-V-001347	— Господа!
AKT-V-001348	— кричал он снаружи,
AKT-V-001349	— отворите ворота;
AKT-V-001350	вы арестованы от имени правительства!
AKT-V-001351	Но ворота были так крепко заколочены, что их принуждены были сломать.
AKT-V-001352	Когда офицер вошёл в комнату, мы его спросили, за что мы арестованы?
AKT-V-001353	— За то,
AKT-V-001354	— отвечал он,
AKT-V-001355	— что вы издеваетесь над покойниками и нынешнюю ночь перетаскали все кости из Комской часовни.
AKT-V-001356	Один аббат, проходивший мимо, видел, как вы ломали решётку, и сегодня утром на вас донёс.
AKT-V-001357	Мы тщетно протестовали, офицер непременно хотел, чтобы мы шли за ним.
AKT-V-001358	К счастью, я увидел комского подесту (известного археолога R…i), с которым был знаком, и призвал его на помощь.
AKT-V-001359	Узнав меня и Антонио, он очень перед нами извинялся и велел привесть аббата, сделавшего на нас донос;
AKT-V-001360	но его нигде не могли отыскать.
AKT-V-001361	Когда я рассказал подесте, что с нами случилось, он нисколько не удивился, но пригласил меня в городской архив.
AKT-V-001362	Антонио был так слаб, что не мог за нами следовать, а Владимир остался, чтобы проводить его домой.
AKT-V-001363	Когда мы вошли в архив, подеста раскрыл большой in folio и прочитал следующее:
AKT-V-001364	«Сего 1679 года сентября 20-го дня казнён публично на городской площади разбойник Giorambatista Cannelli, около двадцати лет с шайкою своею наполнявший ужасом окрестности Комо и Милана.
AKT-V-001365	Родом он из Комо, лет ему по собственному показанию 50.
AKT-V-001366	Пришедши на место казни, он не хотел приобщиться святых тайн и умер не как христианин, а как язычник».
AKT-V-001367	Сверх того, подеста (человек во всех отношениях заслуживающий уважение и который скорее бы дал себе отрезать руку, нежели бы согласился сказать неправду) открыл мне, что чёртов дом построен на том самом месте, где некогда находился языческий храм, посвящённый Гекате и ламиям.
AKT-V-001368	Многие пещеры и подземельные ходы этого храма, как гласит молва, и поныне сохранились.
AKT-V-001369	Они ведут глубоко в недра земли, и древние думали, что они имеют сообщение с тартаром.
AKT-V-001370	В народе ходит слух, что ламии, или эмпузы, которые, как вам известно, имели много сходства с нашими упырями, и поныне ещё бродят около посвящённого им места, принимая всевозможные виды, чтобы заманивать к себе неопытных людей и высасывать из них кровь.
AKT-V-001371	Странно ещё то, что Владимир через несколько дней в самом деле получил письмо от своей матери, в котором она его просила возвратиться в Россию.
AKT-V-001372	Рыбаренко замолчал и опять погрузился в размышления.
AKT-V-001373	— Что ж,
AKT-V-001374	— спросил его Руневский,
AKT-V-001375	— и вы не делали никаких розысканий о вашем приключении?
AKT-V-001376	— Делал,
AKT-V-001377	— отвечал Рыбаренко.
AKT-V-001378	— Сколько я ни уважал подесту, но истолкование его мне не казалось вероятным.
AKT-V-001379	— И что ж вы узнали?
AKT-V-001380	— Пепина ничего не понимала, когда её спрашивали о брате её Титта.
AKT-V-001381	Она говорила, что у неё никогда не бывало брата.
AKT-V-001382	На наши вопросы она отвечала, что она действительно вышла из виллы Remondi на помощь к Антонио, но что никогда она нас не догоняла и не просила Антонио, чтобы он выхлопотал прощение её брату.
AKT-V-001383	Никто также ничего не знал о прекрасном дворце дон Пьетро между виллою Remondi и виллою d'Este, и когда я нарочно пошёл его отыскивать, я ничего не нашёл.
AKT-V-001384	Происшествие это сделало на меня сильное впечатление.
AKT-V-001385	Я выехал из Комо, оставив Антонио больным.
AKT-V-001386	Чрез месяц я узнал в Риме, что он умер от изнеможения.
AKT-V-001387	Я сам так был слаб, как будто после сильной и продолжительной болезни;
AKT-V-001388	но наконец старания искусных врачей возвратили мне, хотя не совсем, потерянное здоровье.
AKT-V-001389	Прожив ещё год в Италии, я возвратился в Россию и вступил в круг своих прежних занятий.
AKT-V-001390	Я работал с усердием, и труды мои меня развлекали;
AKT-V-001391	но каждое воспоминание о пребывании моём в Комо приводило меня в содрогание.
AKT-V-001392	Поверите ли вы мне, что я и теперь часто не знаю, куда мне деваться от этого воспоминания!
AKT-V-001393	Оно повсюду меня преследует, как червь подтачивает мой рассудок, и бывают минуты, что я готов лишить себя жизни, чтобы только избавиться от его присутствия!
AKT-V-001394	Я бы ни за что не решился об этом говорить, если бы не думал, что рассказ мой вам послужит предостережением.
AKT-V-001395	Вы видите, что похождения мои несколько похожи на то, что с вами случилось на даче у старой бригадирши.
AKT-V-001396	Ради Бога, берегитесь, любезный друг, а особливо не вздумайте шутить над вашим приключением.
